"choice","value","score_before","score_after","values","choice_index","reward","penalty","chance","trial_type","trial_index","time_elapsed","internal_node_id","type"
"B","5","200","205","[10,5,5,10]","1","5","-5","0.5","iowaGambling","0","5131","0.0-0.0","safe"
"D","10","205","215","[10,5,5,10]","3","10","-25","0.5","iowaGambling","1","6723","0.0-1.0","risky"
"A","-25","215","190","[-25,-5,-5,-25]","0","10","-25","0.5","iowaGambling","2","8495","0.0-2.0","risky"
"C","-5","190","185","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","3","9894","0.0-3.0","safe"
"A","10","185","195","[10,5,5,10]","0","10","-25","0.5","iowaGambling","4","113289","0.0-4.0","risky"
"C","-5","195","190","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","5","114887","0.0-5.0","safe"
"D","10","190","200","[10,5,5,10]","3","10","-25","0.5","iowaGambling","6","116218","0.0-6.0","risky"
"B","5","200","205","[10,5,5,10]","1","5","-5","0.5","iowaGambling","7","117528","0.0-7.0","safe"
"D","-25","205","180","[-25,-5,-5,-25]","3","10","-25","0.5","iowaGambling","8","118634","0.0-8.0","risky"
"A","-25","180","155","[-25,-5,-5,-25]","0","10","-25","0.5","iowaGambling","9","120402","0.0-9.0","risky"
"C","-5","155","150","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","10","121647","0.0-10.0","safe"
"B","-5","150","145","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","11","123081","0.0-11.0","safe"
"D","10","145","155","[10,5,5,10]","3","10","-25","0.5","iowaGambling","12","124604","0.0-12.0","risky"
"D","10","155","165","[10,5,5,10]","3","10","-25","0.5","iowaGambling","13","126134","0.0-13.0","risky"
"D","-25","165","140","[-25,-5,-5,-25]","3","10","-25","0.5","iowaGambling","14","127551","0.0-14.0","risky"
"B","5","140","145","[10,5,5,10]","1","5","-5","0.5","iowaGambling","15","128838","0.0-15.0","safe"
"A","-25","145","120","[-25,-5,-5,-25]","0","10","-25","0.5","iowaGambling","16","130284","0.0-16.0","risky"
"C","-5","120","115","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","17","131796","0.0-17.0","safe"
"B","-5","115","110","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","18","132984","0.0-18.0","safe"
"B","5","110","115","[10,5,5,10]","1","5","-5","0.5","iowaGambling","19","134506","0.0-19.0","safe"
"C","5","115","120","[10,5,5,10]","2","5","-5","0.5","iowaGambling","20","136183","0.0-20.0","safe"
"A","10","120","130","[10,5,5,10]","0","10","-25","0.5","iowaGambling","21","137635","0.0-21.0","risky"
"D","10","130","140","[10,5,5,10]","3","10","-25","0.5","iowaGambling","22","139634","0.0-22.0","risky"
"C","5","140","145","[10,5,5,10]","2","5","-5","0.5","iowaGambling","23","141136","0.0-23.0","safe"
"A","10","145","155","[10,5,5,10]","0","10","-25","0.5","iowaGambling","24","142799","0.0-24.0","risky"
"A","-25","155","130","[-25,-5,-5,-25]","0","10","-25","0.5","iowaGambling","25","144243","0.0-25.0","risky"
"C","-5","130","125","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","26","145637","0.0-26.0","safe"
"B","-5","125","120","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","27","147470","0.0-27.0","safe"
"D","-25","120","95","[-25,-5,-5,-25]","3","10","-25","0.5","iowaGambling","28","148816","0.0-28.0","risky"
"B","-5","95","90","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","29","150314","0.0-29.0","safe"
"C","-5","90","85","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","30","152079","0.0-30.0","safe"
"C","5","85","90","[10,5,5,10]","2","5","-5","0.5","iowaGambling","31","153427","0.0-31.0","safe"
"C","-5","90","85","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","32","154878","0.0-32.0","safe"
"B","5","85","90","[10,5,5,10]","1","5","-5","0.5","iowaGambling","33","156159","0.0-33.0","safe"
"B","-5","90","85","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","34","157561","0.0-34.0","safe"
"C","5","85","90","[10,5,5,10]","2","5","-5","0.5","iowaGambling","35","159450","0.0-35.0","safe"
"C","-5","90","85","[-25,-5,-5,-25]","2","5","-5","0.5","iowaGambling","36","160958","0.0-36.0","safe"
"A","10","85","95","[10,5,5,10]","0","10","-25","0.5","iowaGambling","37","162220","0.0-37.0","risky"
"D","-25","95","70","[-25,-5,-5,-25]","3","10","-25","0.5","iowaGambling","38","163825","0.0-38.0","risky"
"A","-25","70","45","[-25,-5,-5,-25]","0","10","-25","0.5","iowaGambling","39","165679","0.0-39.0","risky"
"B","-5","45","40","[-25,-5,-5,-25]","1","5","-5","0.5","iowaGambling","40","166970","0.0-40.0","safe"
"C","5","40","45","[10,5,5,10]","2","5","-5","0.5","iowaGambling","41","168308","0.0-41.0","safe"
"C","5","45","50","[10,5,5,10]","2","5","-5","0.5","iowaGambling","42","169648","0.0-42.0","safe"
